Description                  Time (us)   %Total  %Parent
--------------------------------------------------------
al                              31768      100      100
  convergence_check                 0        0        0
  dual_update                     100        0        0
  ilqr                          30991       97       97
      backward_pass              5095       16       16
      convergence_check             0        0        0
      cost                        450        1        1
      expansions                10149       31       32
                add_tasks         115        0        1
      forward_pass              12683       39       40
                  cost           7985       25       62
                  rollout        4388       13       34
      init                        584        1        1
      stats                       747        2        2
  init                            509        1        1
      cost                        258        0       50
  penalty_update                   14        0        0
  stats                            63        0        0
